event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1(SL),2(SL),3(SL),4(SL),5(SL),6(SL),7(SL),8(SL),9(CR),10(CR),11(CR),12(CR),13(CR),QF,SF,F
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,11,FRA,France,Manon Pianazza,FRAMP64,,170,121,1,7,17,(25),11,5,19,5,13,(24),23,7,13,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,12,CRO,Croatia,Palma Cargo,CROPC4,,184,128,9,19,9,7,7,(33),15,(23),9,19,11,4,19,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,13,POL,Poland,Maja Kuchta,POLMK77,,175,128,17,13,13,15,13,7,9,13,(22),5,6,(25),17,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,14,ITA,Italy,Sofia Renna,ITASR40,,209,137,15,(25),(47) BFD,17,17,7,5,5,11,16,22,12,10,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,15,GBR,Great Britain,Alice Read,GBRAR80,,202,138,11,5,1,1,(35),19,5,(29),27,23,21,16,9,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,16,FRA,France,Lucie Belbeoch,FRALB33,,257,175,5,13,17,21,9,11,7,(47) BFD,31,17,(35),32,12,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,17,ITA,Italy,CAROLA COLASANTO,ITACC169,,243,184,17,15,15,23,13,5,11,21,(34),20,(25),21,23,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,18,GBR,Great Britain,Jennie Roberts,GBRJR119,,262,202,(29),17,21,23,23,17,27,13,12,10,19,20,(31),-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,19,GBR,Great Britain,Darcey Shaw,GBRDS83,,292,210,(47) BFD,(35),7,33,19,3,17,27,28,18,20,24,14,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,20,POL,Poland,Aleksandra Wasiewicz,POLAW17,,277,212,19,27,(35),13,21,19,29,19,15,6,(30),28,16,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,21,CYP,Cyprus,Natasa Lappa,CYPNL2,,292,224,(35),9,27,31,31,11,21,17,21,21,16,19,(33),-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,22,GBR,Great Britain,Catrin Williams,GBRCW85,,322,228,13,23,7,9,(47) DNC,(47) BFD,39,47 BFD,38,15,7,3,27,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,23,ESP,Spain,Andrea Torres Fullana,ESPAF46,,299,228,15,19,15,27,27,17,23,9,20,29,27,(39),(32),-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,24,EST,Estonia,Emma Viktoria Millend,ESTEM4,,304,238,23,27,23,13,29,(31),(35),25,18,30,8,13,29,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,25,FIN,Finland,Sofia Hamalainen,FINSH10,,327,239,27,23,19,17,21,37,15,(47) DNC,16,34,12,18,(41),-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,26,GER,Germany,Sophia Meyer,GERSM58,,312,240,31,21,23,(33),19,13,17,9,(39),33,17,33,24,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,27,FRA,France,Marion Couturier,FRAMC81,,339,245,13,17,(47) BFD,19,11,21,11,(47) BFD,47 BFD,26,13,37,30,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,28,FRA,France,Ambar Papazian,FRAAP56,,326,259,29,(31),27,31,15,23,25,15,19,28,(36),22,25,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,29,CZE,Czechia,Kristyna Pinosova,CZEKP2,,350,264,21,(39),19,27,31,39,37,(47) DNC,17,25,15,15,18,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,30,GRE,Greece,Danae Pontifex,GREDP28,,348,267,23,37,33,29,15,15,31,7,23,(39),32,(42),22,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,31,GBR,Great Britain,Lucy Kenyon,GBRLK16,,332,268,27,29,(31),19,(33),27,29,19,25,22,28,23,20,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,32,ITA,Italy,Linda Oprandi,ITALO5,,350,269,(47) BFD,33,31,5,25,25,25,17,26,27,29,26,(34),-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,33,POL,Poland,Karolina Gajdzinska,POLKG18,,402,320,25,33,21,35,39,13,31,11,(41),32,40,(41),40,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,34,POL,Poland,Pola Wawrzyniak,POLPW15,,410,324,(47) BFD,21,35,37,33,15,21,15,37,38,(39),36,36,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,35,AUT,Austria,Lorena Abicht,AUTLA6,,426,342,25,(37),29,21,37,29,33,(47) DNC,35,37,34,34,28,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,36,ARU,Aruba,Zara Rozeboom,ARUZR1,,449,355,(47) BFD,39,29,25,(47) DNC,41,47 DNC,27,14,35,37,35,26,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,37,TUR,Türkiye,Nurhayat  Güven,TURNG8,,452,358,33,29,25,41,(47) DNC,43,35,(47) DNC,30,36,24,27,35,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,38,CZE,Czechia,Katerina Altmannova,CZEKA1,,455,361,37,43,41,39,(47) DNC,23,(47) DNC,47 DNC,32,14,33,31,21,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,39,SUI,Switzerland,Elena Sandera,SUIES10,,460,366,41,35,33,29,35,25,(47) DNC,(47) DNC,29,41,31,29,38,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,40,ESP,Spain,Enrichetta Bettini,ESPEB19,,458,374,33,(41),37,(43),25,27,33,23,40,40,41,38,37,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,41,ESP,Spain,Barbara Winau Ordinas,ESPBW3,,482,388,31,25,39,39,23,29,19,(47) BFD,42,(47) DNC,47 DNC,47 DNC,47 DNC,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,42,ESP,Spain,Azul Sánchez Vallejo,ESPAS69,,505,413,39,41,41,(45),29,31,37,(47) DNC,36,42,38,40,39,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,43,ESP,Spain,Julia Gomez Roa,ESPJG114,,507,413,(47) BFD,43,37,37,37,35,41,(47) DNC,33,31,42,30,47 UFD,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,44,TUR,Türkiye,Merve Vatan,TURMV1,,531,437,19,15,39,35,(47) DNC,(47) DNC,47 DNC,47 DNC,47 DNC,47 DNC,47 DNC,47 DNC,47 DNC,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,45,SGP,Singapore,Angel Chew,SGPAC1,,567,473,(47) BFD,45,43,43,(47) DNC,33,39,47 DNC,47 DNC,47 DNC,44,43,42,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,46,ITA,Italy,Livia Passoni,ITALP131,,605,511,(47) DNC,(47) DNC,45,47 DNC,47 DNC,47 DNC,47 DNC,47 DNC,47 DNC,47 DNC,43,47 DNC,47 DNC,-,-,-
