event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,Q1 Red,Q2 Red,Q3 Red,Q4 ,Q5 Red,Q6 Red,Q7 Red,F1 Gold,F2 Silver,F3 Bronze,F4 Bronze,F5 Silver,F6 Medal
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,11,NZL,New Zealand,Logan Dunning-Beck / Oscar Gunn,NZLLD5 / NZLOG2,NZL 45,118,101,16,9,1,(17),1,14,8,8,14,12,11,7,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,12,AUT,Austria,Keanu Prettner / Jakob Flachberger,AUTKP5 / AUTJF8,AUT 28,122,103,4,1,16,2,14,17,12,5,4,15,13,(19),-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,13,ESP,Spain,Diego Botin le Chever / Florian Trittel Paul,ESPDB8 / ESPFT5,ESP 74,133,108,20,3,18,3,(25),8,3,6,24,9,2,12,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,14,ESP,Spain,Martin Wizner / Jaime Wizner Perez-la Fuente,ESPJW01 / ESPMW3,ESP 775,132,109,1,12,20,4,11,2,1,16,(23),16,22,4,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,15,FRA,France,Julien D'Ortoli / Noe Delpech,FRAJD11 / FRAND4,FRA 51,127,110,10,2,12,14,8,13,10,14,(17),17,4,6,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,16,FRA,France,Mathias Berthet / Clement Pequin,FRACP31 / NORMB7,FRA 16,142,116,8,10,9,12,2,23,15,15,5,(26) UFD,6,11,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,17,MLT,Malta,Richard Schultheis / Youenn Bertin,FRAYB10 / GERRS42,MLT 205,139,117,5,9,7,9,21,7,8,20,9,(22),17,5,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,18,USA,United States of America,Andrew Mollerus / Ian Macdiarmid,USAAM84 / USAIM9,USA 43,149,118,16,4,15,3,6,(31) UFD,5,11,3,18,24,13,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,19,BEL,Belgium,Yannick Lefebvre / Jan Heuninck,BELJH8 / BELYL5,BEL 24,143,120,22,5,3,6,5,7,11,(23),12,13,15,21,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,20,POL,Poland,Lukasz Przybytek / Jacek Piasecki,POLJP8 / POLLP2,POL 5,164,132,6,20,6,5,2,4,(32) BFD,17,16,10,20,26 BFD,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,21,POL,Poland,Mikolaj Staniul / Jakub Sztorch,POLMS47 / POLJS41,POL 64,163,138,5,15,14,12,9,3,7,19,(25),20,16,18,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,22,THA,Thailand,Don Whitcraft / Dylan Whitcraft,THADW3 / THADW2,THA 279,177,149,4,7,4,(28),4,5,11,22,21,24,23,24,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,23,GER,Germany,Fabian Graf / Tom Heinrich,GERTH29 / GERFG11,GER 13,184,161,12,11,2,15,18,3,(23),18,20,19,21,22,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,24,POR,Portugal,Pedro Costa / Joao Bolina,PORPC24 / PORJB9,POR 221,191,162,9,5,3,7,(29),29,2,24,18,23,25,17,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,25,ITA,Italy,Jan Pernarcic / Giovanni Sandrini,ITAGS207 / ITAJP14,ITA 311,198,167,11,7,19,15,2,(31) UFD,4,25,22,21,18,23,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,26,GBR,Great Britain,James Peters / Fynn Sterritt,GBRFS6 / GBRJP65,GBR 30,111,79,10,(32) UFD,4,14,14,2,21,1,4,9,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,27,POL,Poland,Patryk Kosmalski / Tomasz Lewandowski,POLPK31 / POLTL5,POL 42,108,87,15,12,14,4,1,10,(21),21,3,7,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,28,GER,Germany,Maximilian Stingele / Linov Scheel,GERMS84 / GERLS27,GER 21,124,95,8,12,(29),7,15,8,12,10,13,10,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,29,GER,Germany,Jakob Meggendorfer / Andreas Spranger,GERAS58 / GERJM44,GER 22,118,96,17,(22),13,2,4,19,12,6,8,15,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,30,IRL,Ireland,Seafra Guilfoyle / Johnny Durcan,IRLSG10 / IRLJD28,IRL 11,116,97,13,(19),15,19,10,12,5,17,5,1,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,31,AUS,Australia,Jim Colley / Shaun Connor,AUSJC75 / AUSSC40,AUS 20,128,101,4,22,(27),18,9,16,3,2,14,13,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,32,GBR,Great Britain,James Grummett / Sam Jones,GBRJG101 / GBRSJ35,GBR 102,133,103,23,(30),8,16,27,1,10,4,11,3,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,33,ESP,Spain,Albert Torres / Elias Aretz,ESPEA12 / ESPAT18,ESP 317,127,103,16,(24),8,16,6,10,13,5,21,8,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,34,BRA,Brazil,Gustavo Abdulklech / Nicolas Bernal,BRAGA10 / BRANB8,BRA 244,137,106,14,6,30,3,(31) DSQ,13,20,3,1,16,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,35,GER,Germany,Florian Krauss / Jannis Suemmchen,GERFK44 / GERJS137,GER 115,139,112,23,17,21,20,12,4,4,9,(27),2,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,36,FIN,Finland,Juuso Roihu / Lasse Lindell,FINLL8 / FINJR20,FIN 321,144,113,15,3,9,12,8,21,15,12,(31),18,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,37,SUI,Switzerland,Joshua Richner / Nilo Scharer,SUIJR14 / SUINS10,SUI 133,142,115,3,11,2,(27),25,15,8,14,12,25,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,38,ITA,Italy,Uberto Crivelli Visconti / Giulio Calabro,ITAUC6 / ITAGC160,ITA 88,150,116,7,16,20,10,21,17,9,(34) UFD,10,6,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,39,NED,Netherlands,Robbert Huisman / Jack Dingemans,NEDJD54 / NEDRH30,NED 987,144,121,17,14,11,8,15,22,(23),13,9,12,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,40,NZL,New Zealand,Sam Morgan / Patrick Morgan,NZLPM12 / NZLSM30,NZL 151,146,123,9,20,22,18,13,11,(23),20,6,4,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,41,POL,Poland,Adam Glogowski / Maciej Krusiec,POLMK65 / POLAG20,POL 744,150,124,25,1,(26),19,24,6,5,23,7,14,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,42,NZL,New Zealand,Seb Menzies / George Rush,NZLGR9 / NZLSM29,NZL 250,154,126,3,23,17,23,7,20,13,(28),15,5,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,43,FRA,France,Kevin Fischer / Yann Jauvin,FRAYJ2 / FRAKF4,FRA 44,156,127,2,1,22,27,7,24,25,(29),2,17,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,44,POL,Poland,Tytus Butowski / Lukasz Machowski,POLTB5 / POLLM4,POL 702,162,132,19,9,24,6,12,8,13,22,19,(30),-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,45,FRA,France,GOULON Corentin / TIMOTHEE DEPERY,FRATD23 / FRAGC64,FRA 498,172,138,21,6,1,20,26,4,11,(34) DNF,30,19,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,46,GBR,Great Britain,Finley Armstrong / Ewan Gribbin,GBRFA6 / GBREG16,GBR 140,167,139,13,17,23,(28),11,9,14,15,26,11,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,47,DEN,Denmark,Daniel Nyborg / Nikolaj Hoffmann Buhl,DENNH5 / DENDN1,DEN 70,168,143,18,10,14,5,19,(25),18,11,24,24,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,48,ESP,Spain,Pol Marsans Balcells / Jose Manuel Ruiz Ibanez,ESPPM34 / ESPJR85,ESP 424,172.4,143.8,8.6 DPI,9.6 DPI,25.6 DPI,(28.6) DPI,19,14,6,16,18,27,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,49,DEN,Denmark,Gustav  Aasholm-Bradley / Frederik Melbye,DENGA2 / DENFM5,DEN 747,175,147,9,(28),25,7,11,10,15,25,17,28,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,50,GER,Germany,Valentin Müller / Moritz Fiebig,GERVM7 / GERMF48,GER 718,175,148,19,11,10,24,(27),25,6,8,25,20,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,51,AUS,Australia,Thomas Needham / Max Paul,AUSMP41 / AUSTN6,AUS 40,175,149,12,8,19,(26),9,14,19,24,23,21,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,52,NED,Netherlands,Wiebrand de Vos / Corne Janssen,NEDWD21 / NEDCJ10,NED 456,184,152,20,29,18,10,8,15,19,7,(32),26,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,53,JPN,Japan,Teruaki Shimakura / Shintaro Kamisonoda,JPNTS27 / JPNSK40,JPN 893,190,157,18,8,12,13,28,11,16,19,(33),32,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,54,HUN,Hungary,Roni Oszkar Szabo,HUNRS9,HUN 473,188,159,11,18,28,14,20,3,(29),27,16,22,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,55,CAN,Canada,Thomas Staples / William Staples,CANTS30 / CANWS4,CAN 428,191,160,27,23,5,25,3,19,18,18,22,(31),-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,56,ITA,Italy,Federico Figlia di Granara / Riccardo Figlia di Granara,ITAFF128 / ITARF48,ITA 767,198,164,10,15,19,4,28,18,21,(34) UFD,20,29,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,57,FIN,Finland,Otto Mikkela / Edvard Bremer,FINOM3 / FINEB5,FIN 38,207,175,12,3,13,28,17,21,(32) BFD,30,28,23,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,58,FIN,Finland,Aatos Kylävainio / Onni Kylävainio,FINAK18 / FINOK8,FIN 100,210,177,27,14,12,21,16,16,16,26,29,(33),-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,59,DEN,Denmark,Frederik Rask / Jakob Precht Jensen,DENJP11 / DENFR5,DEN 66,140,109,5,15,3,21,(31) BFD,31 UFD,27,2,3,2,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,60,FRA,France,Keo Devaux / RIO Enaël,FRAKD9 / FRARE4,FRA 144,143,115,22,21,(28),18,18,2,16,13,2,3,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,61,HKG,"Hong Kong, China",Akira Luke Sakai / Russell Williams Aylsworth,HKGRA4 / HKGAS4,HKG 80,152,127,24,(25),7,22,5,16,24,15,10,4,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,62,SUI,Switzerland,Pablo Rüegge / Linus Abicht,SUIPR10 / SUILA9,SUI 499,157,129,14,(28),25,22,5,20,17,8,5,13,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,63,ISR,Israel,Tal Sade / Ely Reuveny,ISRTS4 / ISRER4,ISR 282,170,136,28,27,27,11,13,17,7,5,1,(34) UFD,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,64,DEN,Denmark,Malthe Ebdrup / Clement Aasholm-Bradley,DENCA12 / DENME7,DEN 106,165,136,8,2,25,26,17,(29),27,9,13,9,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,65,POL,Poland,Mateusz Gwóźdź / Szymon Cierzan,POLSC5 / POLMG69,POL 992,167,140,19,21,(27),10,17,13,17,7,15,21,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,66,AUS,Australia,Thomas Cunich / Jack Hildebrand,AUSJH82 / AUSTC24,AUS 899,175,147,(28),16,18,25,23,22,24,4,8,7,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,67,FRA,France,Malo Kennish / Anatole Martin,FRAMK7 / FRAAM61,FRA 445,172,147,24,(25),20,13,14,22,6,20,4,24,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,68,GRE,Greece,Pavlos Serafeim Kagialis / Ioannis Orfanos,GREJO1 / GREPK7,GRE 171,180,149,21,(31) DSQ,23,11,22,11,24,16,7,14,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,69,DEN,Denmark,Jens-Christian Dehn-Toftehoj / Mads Fuglbjerg,DENMF8 / DENJD11,DEN 711,178,153,21,21,21,6,22,20,9,24,9,(25),-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,70,GBR,Great Britain,William Pank / Richie Thurlby,GBRWP13 / GBRRT66,GBR 999,185,154,17,13,28,(31),24,5,25,21,11,10,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,71,GBR,Great Britain,Duncan Gregor / Freddie Lonsdale,GBRFL15 / GBRDG52,GBR 505,185,155,22,25,9,2,26,(30),29,10,6,26,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,72,GER,Germany,Kjell Haschen / Iven Fromm,GERKH47 / GERIF2,GER 182,181,155,18,20,10,13,20,(26),26,17,12,19,-,-,-
