series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P,2P,3P,4P,5P,6P,7P,8P,9P
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,11,NZL,New Zealand,Micah Wilkinson / Kate Stewart,NZLKS3 / NZLMW12,NZL 96,95,73,(22) UFD,9,13,7,6,18,11,1,8
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,12,GBR,Great Britain,Duncan Gregor / Jasmine Williams,GBRDG52 / GBRJW176,GBR 48,111,89,11,(22) UFD,11,18,7,11,5,14,12
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,13,USA,United States of America,Sarah Newberry Moore / Hoel Menard,USAHM62 / USASN15,USA 50,115,93,(22) UFD,10,10,15,18,4,8,17,11
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,14,FRA,France,Tim Mourniac / Aloise Retornaz,FRATM30 / FRARA10,FRA 51,115,93,(22) UFD,14,15,5,12,6,12,22 UFD,7
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,15,AUS,Australia,Jake Liddell / Niamh Meehan,AUSJL33 / AUSNM24,AUS 28,117,95,3,17,14,17,15,(22) UFD,18,8,3
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,16,GER,Germany,Julian Hoffmann / Alica Stuhlemmer,GERJH64 / GERAS76,GER 73,117,98,15,16,7,14,13,9,(19),9,15
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,17,AUS,Australia,Archie Gargett / Sarah Hoffman,AUSSH56 / AUSAG43,AUS 77,118,101,6,12,(17),16,17,8,10,16,16
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,18,JPN,Japan,Keiju Okada / miyuki funayama,JPNMF6 / JPNKO14,JPN 459,126,106,8,13,18,11,16,10,13,(20),17
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,19,IND,India,Doiphode Siddheshwar / Ramya Saravanan,INDDS13 / INDRS6,IND 533,150,130,13,15,19,(20),20,16,20,18,9
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,20,CAN,Canada,Caspar Lenz Anderson / Grace Poole,CANGP15 / CANCL37,CAN 501,153,131,14,(22) UFD,20,22 STP,19,15,17,11,13
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,21,POL,Poland,Przemysław Marczak / Aleksnadra Roszkowska,POLPM26 / POLAR9,POL 393,184,162,19 STP,18,21,21,21,(22) DNF,21,19,22 RET
